model,0,1,2,3,4,5,6,7,8,9
GCN,0.913173929098966,0.926283234859675,0.9320070162481536,0.9383770310192023,0.9079579025110782,0.9125738552437223,0.9315454209748892,0.9165897341211227,0.9326532496307238,0.9260985967503692
SAGE,0.9970919497784343,0.9944608567208271,0.9981536189069424,0.9935838257016247,0.9966303545051699,0.9967226735598227,0.9965380354505169,0.9975073855243722,0.996538035450517,0.9958456425406204
GAT,0.9580871491875923,0.9298836779911374,0.9480243722304285,0.962887740029542,0.9618722304283605,0.9562407680945347,0.9656573116691285,0.9477012555391433,0.9576255539143279,0.9466395864106352
GPR,0.9333456425406204,0.9394848596750369,0.9398079763663221,0.9362998522895125,0.9453009601181683,0.9318685376661744,0.9007570162481537,0.9196362629246676,0.9435468980797637,0.9323762924667651
