model,0,1,2,3,4,5,6,7,8,9
GCN,0.9559967320261438,0.9438888888888889,0.9453431372549019,0.952467320261438,0.9387581699346405,0.9515686274509804,0.9376470588235294,0.9487908496732027,0.9387581699346405,0.9419117647058823
SAGE,0.9694934640522876,0.9827287581699347,0.9683496732026144,0.9739542483660131,0.9792973856209151,0.9610294117647058,0.976078431372549,0.9792647058823529,0.9626797385620915,0.9594444444444445
GAT,0.9653104575163398,0.9675980392156862,0.9752614379084967,0.9526960784313725,0.9631209150326796,0.9620915032679739,0.9690196078431372,0.9705718954248366,0.9637091503267974,0.9589869281045751
GPR,0.9183660130718954,0.9174019607843138,0.9123366013071896,0.9269934640522877,0.9257189542483659,0.9285130718954249,0.9217320261437909,0.9141013071895425,0.9086928104575164,0.9187745098039216
