model,0,1,2,3,4,5,6,7,8,9
GCN,0.9561928104575164,0.9424183006535948,0.9455882352941176,0.9527941176470589,0.9375163398692811,0.9518300653594771,0.9359150326797385,0.9490849673202615,0.9377450980392157,0.9406045751633987
SAGE,0.969983660130719,0.9826143790849673,0.9683169934640523,0.9737908496732026,0.97968954248366,0.9601633986928104,0.9765686274509804,0.9791666666666666,0.9626960784313725,0.959297385620915
GAT,0.965392156862745,0.9676307189542483,0.9752450980392157,0.9526960784313725,0.9631209150326798,0.9619771241830065,0.9690686274509804,0.9705392156862745,0.9637091503267974,0.9591176470588235
GPR,0.9200816993464052,0.9171895424836601,0.9123529411764706,0.9292483660130719,0.9271568627450981,0.9300980392156863,0.922843137254902,0.9136764705882353,0.9086274509803922,0.9190686274509804
