model,0,1,2,3,4,5,6,7,8,9
GCN,0.9547712418300653,0.9364542483660131,0.9308660130718953,0.9501143790849673,0.9271895424836601,0.9502614379084967,0.9266666666666666,0.9406209150326796,0.9313888888888889,0.9350490196078431
SAGE,0.9512254901960784,0.9595751633986929,0.9526307189542483,0.9512581699346405,0.9563398692810456,0.9388071895424837,0.9547222222222222,0.953937908496732,0.9463235294117647,0.9424509803921569
GAT,0.955702614379085,0.9610294117647058,0.962173202614379,0.9493954248366013,0.9605228758169935,0.9623692810457516,0.9669934640522876,0.9713398692810458,0.962843137254902,0.9466339869281046
GPR,0.9183496732026144,0.9174509803921569,0.9123366013071896,0.9269771241830065,0.9257189542483659,0.9284967320261438,0.9217156862745097,0.9141339869281047,0.9086928104575163,0.9187745098039215
