model,0,1,2,3,4,5,6,7,8,9
GCN,0.6363830339199038,0.6387108591747569,0.6271415774110004,0.6355901761445159,0.6337379776747796,0.6407134521862357,0.6181432755603914,0.6370752995971958,0.6388303100466127,0.6244582882089669
SAGE,0.6272808905070818,0.623637355359698,0.6231960972012697,0.6265867765820572,0.6285030109754913,0.6264806714628512,0.6242380069631744,0.6222664747103045,0.6259621379924812,0.6240587954649399
GAT,0.6213586879913413,0.6095937526475472,0.6251366584780707,0.6152094712336488,0.6219649840019513,0.5873308216626695,0.6106186838200943,0.6060442779256139,0.6180044992410354,0.5875252721518136
GPR,0.6238583473366048,0.6200458795115533,0.6188310359350697,0.6178914847058762,0.6170232947822711,0.618934810845409,0.6170192234818276,0.6172143120338419,0.6183109734815821,0.6190992756091633
