model,0,1,2,3,4,5,6,7,8,9
GCN,0.6047366370243907,0.6073308994642688,0.6069394515984846,0.6110224940734992,0.6065494317729486,0.6073550589329011,0.6007312975148988,0.6094381666533117,0.6089567156332956,0.6009986465137584
SAGE,0.6193763634762749,0.615160724155001,0.614893805473241,0.616354185755192,0.6200754879085146,0.6167350832771117,0.6156122662519968,0.6146123200731495,0.6181563185182468,0.613672148874349
GAT,0.6009068353676729,0.5853034078684816,0.600674034489119,0.5984454314395113,0.605560369091203,0.5643333699220279,0.6005936290788678,0.5912313368783189,0.5974077935500992,0.5839367586618132
GPR,0.617033037155936,0.6086542278341438,0.6054640172097169,0.6044388638754121,0.6165290325196617,0.6063490592970262,0.6023459724887257,0.6023181305714156,0.6051270647085476,0.6064107316031245
