model,0,1,2,3,4,5,6,7,8,9
GCN,0.6035909520059499,0.6058621545076238,0.605085075512609,0.6060418455372172,0.605616532861252,0.606532361090308,0.5989808533821146,0.6088875038709973,0.6078956478931852,0.5997533263777737
SAGE,0.6189965059173055,0.6147818944852598,0.6144336410726267,0.6155616555682599,0.619692722430862,0.6163999110859629,0.6149545827684548,0.6140568124182955,0.6174513173856275,0.6138614268435425
GAT,0.597515774497783,0.5846652326344168,0.6009359115950328,0.5936388429341913,0.6058078070451431,0.5702561912760873,0.5973519740088907,0.5914752610228231,0.5947360705124225,0.5839054515294897
GPR,0.6176130957365601,0.6082219414887099,0.6050147689680114,0.6040577544795998,0.6162882033453556,0.6059414118083306,0.601835645749893,0.6017411716924885,0.6045326749384329,0.6057967836631326
