model,0,1,2,3,4,5,6,7,8,9
GCN,0.5411163575455319,0.5295070776806843,0.5533780632753446,0.5508163755414797,0.5339087298256034,0.5392467103917209,0.5525571682262947,0.53502281704613,0.5458265071233236,0.5322047386676209
SAGE,0.5487817290511683,0.5455810950018151,0.5560525732899589,0.5496388261766795,0.5514767646444668,0.5486322737612737,0.5543861056109675,0.5485455456049281,0.5531554134783555,0.5388230538165898
GAT,0.5248839335983103,0.49949474168850244,0.5085958869993765,0.5245842133874182,0.5283652229737738,0.5105068421290239,0.4957818200880297,0.5129304000808884,0.5145909174065588,0.5310681496720621
GPR,0.5417962853727021,0.5443720023594963,0.5383530579866252,0.5417868235087523,0.5462643614690713,0.545109281543806,0.538494487233013,0.5470873831988986,0.5445210951187204,0.5417903748169158
