model,0,1,2,3,4,5,6,7,8,9
GCN,0.5644444444444444,0.5944444444444446,0.5355555555555556,0.5344444444444444,0.6388888888888888,0.5988888888888888,0.5733333333333333,0.5566666666666666,0.6677777777777778,0.44777777777777783
SAGE,0.7055555555555556,0.7222222222222222,0.7366666666666668,0.7144444444444444,0.6822222222222222,0.6533333333333333,0.6922222222222223,0.6555555555555556,0.6722222222222222,0.6844444444444444
GAT,0.6433333333333332,0.6755555555555556,0.6766666666666666,0.6477777777777778,0.6788888888888889,0.7000000000000001,0.6144444444444443,0.6888888888888888,0.6877777777777777,0.6711111111111111
GPR,0.7166666666666666,0.7444444444444445,0.7111111111111111,0.7355555555555555,0.7466666666666667,0.6944444444444444,0.7222222222222222,0.6855555555555556,0.7166666666666667,0.7333333333333333
