model,0,1,2,3,4,5,6,7,8,9
GCN,0.43168863178637035,0.45540169398991087,0.5285357255257681,0.5480890439571063,0.4658593869716457,0.485172450553923,0.40103455798896065,0.4803788538014094,0.5508266618415875,0.4749425456807838
SAGE,0.529948329969675,0.5241534944583393,0.5112898310178743,0.5028031054946955,0.5133429672553029,0.5138171193350115,0.49983847595694836,0.4630175064277589,0.5092631726242346,0.5278506702937769
GAT,0.5557339101899781,0.5465300985078659,0.5369032687314303,0.5456411458486152,0.5203079046298483,0.5348087882436137,0.48471457553797603,0.5239052278724867,0.5648183515579897,0.5506544519493698
GPR,0.5553224202296482,0.5607932699863621,0.5678235881040541,0.5503218803186234,0.5612692520634478,0.5742864970183833,0.5564012692663844,0.5594180939104768,0.569084111467256,0.5501516321488659
