model,0,1,2,3,4,5,6,7,8,9
GCN,0.9483474889217135,0.954394387001477,0.954071270310192,0.95993353028065,0.9492706794682423,0.9499169128508125,0.9645033234859675,0.9525941654357459,0.9489937223042836,0.9566562038404727
SAGE,0.998107459379616,0.9990306499261448,0.9993999261447563,0.9989383308714919,0.9991691285081241,0.9991691285081241,0.9995845642540621,0.9994922451994092,0.9997692023633677,0.9987998522895126
GAT,0.9735967503692762,0.9557330132939439,0.96875,0.9729505169867061,0.9751661742983753,0.9663035450516987,0.978074224519941,0.9719811669128509,0.9771510339734122,0.9692577548005907
GPR,0.933299483013294,0.9392540620384047,0.9396694977843427,0.9363921713441654,0.9458548744460857,0.9320070162481536,0.9005723781388478,0.919359305760709,0.9447932053175776,0.9332994830132939
