model,0,1,2,3,4,5,6,7,8,9
GCN,0.5385824441382522,0.5298661441001585,0.5548388597807231,0.5496024108103038,0.5334726931079001,0.5370176485900044,0.5500145683851615,0.5281643007653937,0.5451926368590592,0.5331235605262677
SAGE,0.5492049043248604,0.5455907328454902,0.5556211282128581,0.5489168547411114,0.5505907459040563,0.5486059240620748,0.5534271603749873,0.5480269041286087,0.5538340012479014,0.5384627580263855
GAT,0.5170332740971898,0.4921312736616556,0.5062436462302593,0.5236889454511355,0.5307141984795103,0.5091365725790755,0.48425278449050263,0.5078846975866153,0.5160366654690095,0.5250213781165045
GPR,0.5402701593480865,0.5454915822616915,0.5392455531540231,0.5427162657127197,0.5464547192974143,0.5453749487451277,0.5389671886735221,0.5471603451391477,0.5440948448636119,0.5412986377179397
