model,0,1,2,3,4,5,6,7,8,9
GCN,0.5320253568750677,0.5231813291356883,0.5527133405938961,0.5537515003359782,0.5223135078181637,0.5361755551351942,0.5521604887833756,0.538595324237358,0.555059675781919,0.5226523259980258
SAGE,0.5507346562780177,0.5487899435111301,0.555681754782762,0.5500808486923836,0.550907944694858,0.5490682091196301,0.5540022876120596,0.5500980530424033,0.5542509363924704,0.5400440689298281
GAT,0.5248839335983103,0.49949474168850244,0.5085958869993765,0.5245842133874182,0.5283652229737738,0.5105068421290239,0.4957818200880297,0.5129304000808884,0.5145909174065588,0.5310681496720621
GPR,0.5418097139315873,0.5465306113311791,0.5398155098207258,0.5433194495901413,0.5477121939274185,0.5472122262007321,0.538453100283943,0.5500886309759886,0.5448251998986655,0.5431319316890236
