model,0,1,2,3,4,5,6,7,8,9
GCN,0.5043902297426722,0.49837982122239,0.4746348466095353,0.4581672743253189,0.6009459637566827,0.5296770253867888,0.5457786626540344,0.5034502426038187,0.6091888188821689,0.3713955030751678
SAGE,0.6813331008748585,0.7022757732283657,0.7017838101552114,0.6865467744533783,0.6563100810383345,0.5894084972362782,0.6803663745894752,0.6301629077550661,0.6619332885747239,0.6709027356118353
GAT,0.6174650154823265,0.6635419639384228,0.6457897372965874,0.6068125657330217,0.6596677741308059,0.6692406109858933,0.5855730919668908,0.6147936106910655,0.6516110296030313,0.6224021977036518
GPR,0.6486002337003144,0.6941776326501776,0.6063998179907053,0.6257068513859046,0.7106787520117622,0.6107193992764858,0.6685264316861627,0.5847520588127998,0.6153811996079287,0.6950863266909975
