model,0,1,2,3,4,5,6,7,8,9
GCN,0.5344444444444444,0.5488888888888889,0.51,0.51,0.6255555555555556,0.5711111111111111,0.5588888888888889,0.5422222222222222,0.6566666666666667,0.43333333333333335
SAGE,0.6933333333333332,0.7200000000000001,0.7155555555555556,0.69,0.6677777777777778,0.5811111111111111,0.6844444444444444,0.6377777777777778,0.6666666666666667,0.6888888888888889
GAT,0.6333333333333333,0.6788888888888889,0.6577777777777778,0.6266666666666667,0.6744444444444445,0.6866666666666666,0.6000000000000001,0.6266666666666666,0.671111111111111,0.6344444444444445
GPR,0.6599999999999999,0.71,0.6211111111111111,0.6533333333333334,0.7255555555555556,0.6233333333333333,0.6811111111111111,0.5966666666666666,0.6377777777777778,0.7066666666666667
