model,0,1,2,3,4,5,6,7,8,9
GCN,0.9450240029542099,0.9498245937961596,0.9543482274741506,0.9567023633677991,0.9467319054652881,0.9515786558345642,0.9628877400295421,0.9523172082717872,0.9476550960118169,0.9562869276218612
SAGE,0.9973689069423929,0.9982459379615953,0.9993076070901035,0.9986613737075332,0.9988921713441654,0.9986152141802067,0.9990768094534712,0.9983844165435745,0.9986613737075332,0.9983382570162481
GAT,0.9736890694239291,0.955640694239291,0.9685653618906942,0.9731351550960118,0.9752123338257017,0.9664420236336779,0.9780742245199409,0.9721658050221565,0.9770125553914327,0.9687038404726735
GPR,0.9330225258493353,0.938653988183161,0.9387463072378138,0.9361613737075332,0.944839364844904,0.9325147710487445,0.9004800590841949,0.9193131462333826,0.9443777695716395,0.9331148449039881
