model,0,1,2,3,4,5,6,7,8,9
GCN,0.9143740768094535,0.9281296159527326,0.9337610782865584,0.9403157311669128,0.9090195716395864,0.9156665435745938,0.9331148449039881,0.918205317577548,0.9337610782865584,0.9271141063515509
SAGE,0.9982920974889218,0.995707163958641,0.9992152880354506,0.9946916543574593,0.9976458641063516,0.9973689069423929,0.9980612998522895,0.9980151403249631,0.9981997784342689,0.9969996307237814
GAT,0.9580871491875923,0.9298836779911374,0.9480243722304285,0.962887740029542,0.9618722304283605,0.9562407680945347,0.9656573116691285,0.9477012555391433,0.9576255539143279,0.9466395864106352
GPR,0.9336225997045791,0.9398079763663221,0.9405465288035451,0.9367152880354506,0.9462241506646972,0.9322378138847858,0.9012647710487445,0.9195901033973413,0.9453932791728212,0.9337610782865584
