model,0,1,2,3,4,5,6,7,8,9
GCN,0.9544117647058823,0.9348856209150327,0.9303921568627451,0.9501797385620916,0.9255555555555556,0.9500490196078432,0.9255555555555556,0.9401470588235294,0.9309313725490196,0.9358660130718954
SAGE,0.9508986928104576,0.9591503267973855,0.9520751633986928,0.9509477124183007,0.9559967320261438,0.9387418300653595,0.9543954248366013,0.9536764705882352,0.9455555555555556,0.942124183006536
GAT,0.955702614379085,0.9610294117647058,0.962173202614379,0.9493954248366013,0.9605228758169935,0.9623692810457516,0.9669934640522876,0.9713398692810458,0.962843137254902,0.9466339869281046
GPR,0.9200163398692811,0.9175653594771243,0.9122712418300654,0.9286437908496732,0.9272875816993464,0.9304901960784313,0.9229738562091503,0.913937908496732,0.9088235294117648,0.918954248366013
