model,0,1,2,3,4,5,6,7,8,9
GCN,0.44422735526558704,0.48945382298852397,0.52816950411031,0.544001666759688,0.4833726126170555,0.46758996951506643,0.44627056693441514,0.5032406172176858,0.5390221466657388,0.5191279831622692
SAGE,0.5387706516535392,0.5450358242986258,0.5389297970916146,0.5240688051246258,0.5314346554904933,0.5249371764593358,0.5280393336143452,0.5265324931224392,0.5374577232997249,0.5317180430408658
GAT,0.5229062194182598,0.5449658161305833,0.3745037874412192,0.43594494791416577,0.4182636319537835,0.4357793463229836,0.4188872240363066,0.49781055960532744,0.5412111795296076,0.38284207670000353
GPR,0.5628839894832122,0.5635604385420246,0.569901974159325,0.5612421877159829,0.5658775852149138,0.5771683838925079,0.5635176792196683,0.5626268129220228,0.5755679896511098,0.5552272893933798
GCN,0.44650088206980093,0.5043258359423343,0.5245698686604138,0.5363064284423077,0.49454687020607535,0.4643961732396413,0.4550524293672696,0.5196668997402593,0.5474039320732392,0.5512401745262879
SAGE,0.5423922823610695,0.5429876143082254,0.5275020468648678,0.5217358341889552,0.5104404418040641,0.5093218835088237,0.5287112240564832,0.5282195015379795,0.5334413322077628,0.543377785261907
GAT,0.5171323266870057,0.5506455727057621,0.5274988913174008,0.4099042321322906,0.39213259239430603,0.42310187320510145,0.44178642668734946,0.536273781857514,0.5400533805397674,0.426888218164491
GPR,0.5656538256729456,0.5679478565313075,0.5616587473501569,0.5587956967496076,0.5659342278881707,0.5735540030479356,0.5639530033351088,0.5591796536908199,0.5759633122606447,0.5584673206865064
GCN,0.5802155625182115,0.5626762748786907,0.5590835549969811,0.5739652361395804,0.53830845213778,0.5609920339841782,0.5767795301611129,0.5629831418775243,0.5737749257931068,0.5596402158939678
SAGE,0.5553679084702212,0.5364490946994378,0.5421478068551288,0.5366319724761407,0.5409517229942374,0.5366905021797755,0.5601706969765377,0.5544630227749591,0.5489356606677543,0.5479190685128805
GAT,0.5740959365817352,0.5711211050382391,0.5778088752664082,0.590876905564285,0.5746484249225915,0.5707419441790909,0.5632209350992611,0.5492029309210424,0.5727143829076281,0.5845620615183004
GPR,0.5653038667443949,0.569129141420798,0.5716317297162239,0.5608579080013872,0.562539206414708,0.574506259195675,0.5648147709434999,0.5582025552822644,0.5757752079126832,0.5566441193213577
