model,0,1,2,3,4,5,6,7,8,9
GCN,0.34199492985196756,0.3549504472996845,0.3786331338222431,0.37093941999387847,0.3183732034889273,0.34819597424463095,0.3548198286378678,0.3660476336069142,0.38265667790855407,0.35573192483388577
SAGE,0.3311314802401326,0.3521029935049907,0.33867399082964367,0.35673162710514866,0.3185007796640213,0.33595186664282534,0.3230649687383978,0.3173718472800983,0.3076102778180896,0.31535536355484234
GAT,0.43769956984304265,0.3940202564761688,0.28783244461345125,0.37596045890928714,0.3208028333384167,0.3120458505560763,0.3143165108018697,0.40457177803694044,0.39000877580279014,0.2750594136184153
GPR,0.4429137394716878,0.44588804486552597,0.4489849688285683,0.4304934848329646,0.44908888512281236,0.4582808309825461,0.4292379666128232,0.4383689085134875,0.4473611812511804,0.4304101041487596
GCN,0.38918598101531016,0.40765521139796407,0.42572017180018934,0.40660061038432777,0.40740936506461023,0.3944291349123765,0.3837641635756334,0.4022089651362495,0.396384257353484,0.4087331862883825
SAGE,0.37603482462252247,0.39445426591923144,0.4105330976039709,0.38726338787761766,0.3954839515116866,0.4106710499238155,0.389537219767732,0.42227885413262806,0.4019486620415427,0.3751327327799287
GAT,0.44439070756562254,0.36665368635567036,0.41955348623280336,0.4141685824927588,0.4117959146432424,0.41422607696628716,0.43643871016822916,0.4189999589162537,0.4020901841403926,0.43048907466446823
GPR,0.45065079923294177,0.46048223649450265,0.4640689905352167,0.4586138394576449,0.4561229907209137,0.45557194753886215,0.45240854181644274,0.4583406975822804,0.46049370551688407,0.45372890659036313
GCN,0.46700095358020816,0.47137438468418646,0.45846068256730144,0.4683444267551871,0.4723973397397447,0.4549057108420183,0.4683749073160861,0.46282411299370446,0.465231250077444,0.46090030808097127
SAGE,0.4639862783808919,0.45107712036348907,0.457395729643618,0.43345462219317055,0.44538947754709385,0.44403422382346963,0.45035746980596897,0.4483411965853625,0.437502424215014,0.4514886855773712
GAT,0.42696302412333437,0.4291380375386414,0.43344633238638086,0.4243463993404055,0.43946819241788354,0.40121035133202887,0.440955860048226,0.4258468778655049,0.42839497071296356,0.436635005083916
GPR,0.4515220147837762,0.4613334555253447,0.46404945174950285,0.459464374372278,0.45863443510731505,0.4544451989856417,0.44626096685336886,0.4597965562666317,0.4575167509525338,0.45496197380492215
