model,0,1,2,3,4,5,6,7,8,9
GCN,0.3297577324529808,0.3397353117454722,0.370929389780111,0.35864731387156484,0.31301804639955416,0.3363827514485281,0.33964714428507925,0.3536430129470303,0.3700508547181418,0.34096458668369106
SAGE,0.3296220313159402,0.3515051024853884,0.339943823684749,0.3568152001213965,0.3158971715050027,0.3356040749796842,0.3233266952415936,0.31633574803651926,0.3034610612542454,0.31167414835036483
GAT,0.43769956984304265,0.3940267616835873,0.28784545502828834,0.3759806806911284,0.3208031864182095,0.31204549747628346,0.31439835002598954,0.40457177803694044,0.39001528101020866,0.27503430227951486
GPR,0.43526627541447405,0.44208240137483673,0.44274550649425787,0.4222263885125126,0.4429916510018513,0.45442562841274653,0.425178397281643,0.4316740085896867,0.4407748889364865,0.4257600719609093
