model,0,1,2,3,4,5,6,7,8,9
GCN,0.43411868592394826,0.4984534333794481,0.5431292939953603,0.5578850013062868,0.4966196835444989,0.48360994367302373,0.4850141218438224,0.5211327016859514,0.5592811815678328,0.5343474467510251
SAGE,0.5389125888581431,0.5438943948422852,0.5388053532190741,0.5234683876409205,0.5316967254198498,0.5261467054470018,0.5284065460116042,0.5273563106338152,0.5378674222487222,0.5340050621199331
GAT,0.5228733829073556,0.5450217952502358,0.37378852644450467,0.43588810190972077,0.4183018498960856,0.4348163103355202,0.4235842204914142,0.49779427528379044,0.5411376109118703,0.3759361207158503
GPR,0.5732099828672398,0.5740392099948339,0.5811284060833385,0.5716740298176711,0.5753552415550466,0.5873968662125807,0.5728531718380078,0.5733106255537034,0.5866720182025005,0.5656050249846324
