model,0,1,2,3,4,5,6,7,8,9
GCN,0.5328438130814249,0.5223434915297787,0.5542537955966266,0.5550690543197799,0.5244325785606451,0.5373664845556337,0.5519359168898127,0.5348577449547608,0.5531853213259196,0.5236798691258061
SAGE,0.5507419267901957,0.5487305593705224,0.5556138496168057,0.5495790527664324,0.5507695941609058,0.5490821015685328,0.5538934836386736,0.5498377373658684,0.5540214650492451,0.5397961122534247
GAT,0.517020172002459,0.4920925139717331,0.5061193454698404,0.5236451053571337,0.5306639292180941,0.5091792212343728,0.48410855138340586,0.5078408574926135,0.516050168648273,0.5250630790929992
GPR,0.5416986607756366,0.5467564101081263,0.5395289507790305,0.5433101773863193,0.5470607343963504,0.5469963562869348,0.5385732565041921,0.5495172391106794,0.5443898148655981,0.5433262649180127
