model,0,1,2,3,4,5,6,7,8,9
GCN,0.57,0.6033333333333334,0.5444444444444445,0.5422222222222223,0.6355555555555557,0.6033333333333333,0.5744444444444444,0.5666666666666667,0.6644444444444445,0.47111111111111115
SAGE,0.7055555555555557,0.7255555555555555,0.7333333333333333,0.7155555555555556,0.6822222222222222,0.6511111111111111,0.69,0.6533333333333333,0.6722222222222222,0.6822222222222222
GAT,0.6422222222222221,0.6788888888888889,0.6755555555555556,0.6466666666666667,0.6766666666666666,0.6966666666666667,0.6166666666666667,0.6866666666666666,0.69,0.67
GPR,0.7188888888888889,0.74,0.7122222222222222,0.7366666666666667,0.7455555555555555,0.6977777777777777,0.7200000000000001,0.6877777777777777,0.7166666666666666,0.7344444444444443
