model,0,1,2,3,4,5,6,7,8,9
GCN,0.6328671157591689,0.6337053235584392,0.6254028963867666,0.6330125473607001,0.6291613880979141,0.6336178174479985,0.6152267148758728,0.6327206477346645,0.6347672502960459,0.6217177827327176
SAGE,0.6293648782297886,0.6247340779843302,0.6230296128946445,0.6277743323917979,0.6281321998789826,0.6265650826703455,0.626737515554152,0.6240356559436375,0.6268371729132537,0.6252006731074684
GAT,0.6212611254430762,0.6094681029089932,0.6252476609289126,0.6152304343897915,0.6219684026739924,0.5872364201352174,0.6105804536881223,0.6059414925662191,0.6179669576980614,0.5875078276640501
GPR,0.6231861801629718,0.6164280960812145,0.6140331458455538,0.6102947226086691,0.6155930495542299,0.613956032778271,0.6131588470979332,0.612541197816551,0.61374992936287,0.6144787815123853
GCN,0.6329173498275719,0.6333832665174084,0.6262115785834952,0.6330260666761276,0.6293223304651099,0.6332177314424179,0.6150518771390818,0.6326740298179603,0.6346641941180261,0.6222373261301779
SAGE,0.6294030317259882,0.6244146981271872,0.6229771427627773,0.6278256512454407,0.628125680601958,0.6264106566329988,0.6263558055803193,0.6240869717924239,0.6265854380735102,0.6253637309697864
GAT,0.6212725082902161,0.6094864661724113,0.6252121708897913,0.6152624403166118,0.6219323438117943,0.5871327860763429,0.610562942017074,0.6059651644363269,0.6179149102937338,0.5874772338949772
GPR,0.6231860121407675,0.6164281044713847,0.6140328405672875,0.6102947125905263,0.61559303146867,0.6139559946564256,0.6131587966312707,0.6125411697128483,0.6137496711683031,0.6144788319790478
GCN,,,,,,,,,,
SAGE,,,,,,,,,,
GAT,,,,,,,,,,
GPR,,,,,,,,,,
