model,0,1,2,3,4,5,6,7,8,9
GCN,0.6035909520059499,0.6058621545076238,0.605085075512609,0.6060418512779601,0.6056166255625304,0.6065323329866052,0.5989808634002574,0.6088875038709973,0.6078956478931852,0.5997533040148137
SAGE,0.6189965059173055,0.6147818944852598,0.6144336410726267,0.6155616555682599,0.6196927447938217,0.6163999110859629,0.6149545927865976,0.6140568124182955,0.6174513173856275,0.6138614268435425
GAT,0.5975157644796403,0.5846652102714571,0.6009359296805926,0.5936388429341913,0.6058078070451431,0.5702561689131276,0.5973519740088907,0.5914752510046803,0.5947360805305653,0.5839054996694781
GPR,0.6176129748045613,0.6082219414887099,0.6050147789861543,0.6040577444614568,0.6162882033453556,0.6059414139703749,0.6018356514906359,0.6017411716924885,0.6045326949747186,0.6057967736449898
GCN,0.586717238964736,0.6022865320267186,0.5998660048404048,0.6011277672467461,0.5957666314150674,0.6027368097805218,0.5912163629068703,0.600838487233599,0.598117765650406,0.6011258414648541
SAGE,0.6211109018993366,0.6191205729828244,0.6211813460039469,0.6219189871381081,0.621202525055361,0.6206076285751017,0.6205700453830414,0.6203461888678714,0.6202238920597933,0.6220599990570597
GAT,0.555315969010468,0.5864722307584438,0.5989681515374526,0.5562342684169441,0.5952091309522016,0.5620416058140952,0.581516434109726,0.5799242830928198,0.5894204585633771,0.5929908435639023
GPR,0.6034468655165286,0.5997079550152081,0.6018791856411976,0.5948758779258121,0.5931941840263854,0.5948585283476925,0.5942989816578501,0.5994696316366053,0.5943276575200922,0.601132445616866
GCN,,,,,,,,,,
SAGE,,,,,,,,,,
GAT,,,,,,,,,,
GPR,,,,,,,,,,
